Model,Seed,Team,Round64,Round32,Sweet16,Elite8,Final4,TitleGame,AvgPts,ExpValue
model_10,15,Idaho,1.0%,0.1%,0.0%,0.0%,0.0%,0.0%,62.2,$0.11
model_10,3,Illinois,98.4%,78.8%,39.7%,19.9%,6.6%,1.9%,77.4,$73.25
model_10,9,Iowa,52.5%,7.4%,2.2%,0.4%,0.0%,0.0%,69.4,$7.86
model_10,2,Iowa State,99.2%,78.8%,53.9%,15.8%,7.5%,2.1%,76.5,$77.90
model_10,4,Kansas,93.6%,49.8%,7.5%,3.6%,0.9%,0.2%,73.2,$26.71
model_10,14,Kennesaw State,1.9%,0.1%,0.0%,0.0%,0.0%,0.0%,67.9,$0.21
model_10,7,Kentucky,56.1%,13.1%,4.6%,0.4%,0.1%,0.0%,74.7,$10.39
model_10,16,LIU,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5,$0.01
model_10,6,Louisville,74.5%,31.2%,13.3%,1.8%,0.4%,0.1%,76.7,$21.01
model_10,12,McNeese,16.5%,3.2%,0.2%,0.0%,0.0%,0.0%,70.2,$2.34
model_10,7,Miami (FL),61.5%,11.6%,3.1%,0.3%,0.0%,0.0%,74.1,$9.86
model_10,11,Miami (OH),10.7%,0.9%,0.0%,0.0%,0.0%,0.0%,69.5,$1.25
model_10,1,Michigan,99.9%,95.2%,82.2%,69.3%,52.0%,29.3%,76.8,$291.25
model_10,3,Michigan State,95.9%,63.9%,34.7%,7.3%,2.2%,0.6%,75.1,$46.79
model_10,10,Missouri,38.5%,4.5%,0.7%,0.0%,0.0%,0.0%,72.4,$4.97
model_10,4,Nebraska,95.6%,47.6%,13.9%,4.3%,0.8%,0.1%,74.2,$29.36
model_10,6,North Carolina,65.5%,16.4%,3.7%,0.8%,0.1%,0.0%,75.1,$11.94
model_10,14,North Dakota State,4.1%,0.3%,0.0%,0.0%,0.0%,0.0%,65.5,$0.47
model_10,12,Northern Iowa,9.8%,1.1%,0.0%,0.0%,0.0%,0.0%,64.6,$1.18
model_10,8,Ohio State,62.8%,4.4%,1.4%,0.4%,0.1%,0.0%,72.1,$8.07
model_10,14,Penn,1.6%,0.1%,0.0%,0.0%,0.0%,0.0%,66.1,$0.18
model_10,16,Prairie View A&M,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.2,$0.00
model_10,2,Purdue,98.8%,83.8%,54.0%,20.9%,6.9%,2.4%,78.8,$82.85
model_10,15,Queens,1.2%,0.1%,0.0%,0.0%,0.0%,0.0%,68.7,$0.14
model_10,9,Saint Louis,43.2%,1.6%,0.3%,0.0%,0.0%,0.0%,76.7,$4.72
model_10,7,Saint Mary's,63.0%,13.6%,4.2%,0.9%,0.1%,0.0%,72.2,$11.50
model_10,10,Santa Clara,43.9%,8.1%,2.4%,0.2%,0.0%,0.0%,74.8,$7.03
model_10,16,Siena,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,58.3,$0.00
model_10,11,South Florida,25.5%,4.6%,0.8%,0.0%,0.0%,0.0%,74.1,$3.75
model_10,5,St. John's,90.2%,48.6%,7.5%,3.6%,0.9%,0.2%,73.1,$26.45
model_10,9,TCU,37.2%,1.1%,0.2%,0.0%,0.0%,0.0%,70.2,$3.96
model_10,6,Tennessee,89.3%,41.7%,15.3%,2.2%,0.6%,0.1%,74.2,$25.92
model_10,15,Tennessee State,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,65.0,$0.09
model_10,11,Texas,33.2%,6.3%,1.1%,0.1%,0.0%,0.0%,75.3,$5.00
model_10,10,Texas A&M,37.0%,4.6%,0.9%,0.1%,0.0%,0.0%,71.9,$4.98
model_10,5,Texas Tech,84.8%,42.1%,6.3%,2.7%,0.8%,0.1%,78.3,$23.07
model_10,13,Troy,4.4%,0.2%,0.0%,0.0%,0.0%,0.0%,64.4,$0.47
model_10,10,UCF,37.1%,6.3%,1.2%,0.1%,0.0%,0.0%,73.1,$5.40
model_10,7,UCLA,62.9%,17.8%,5.9%,0.5%,0.1%,0.0%,73.6,$12.56
model_10,2,UConn,99.1%,76.0%,44.2%,9.8%,3.3%,0.9%,74.4,$58.08
model_10,16,UMBC,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5,$0.01
model_10,9,Utah State,50.6%,5.1%,1.8%,0.4%,0.0%,0.0%,73.0,$7.09
model_10,11,VCU,34.5%,4.6%,0.6%,0.1%,0.0%,0.0%,73.3,$4.57
model_10,5,Vanderbilt,83.5%,49.0%,17.9%,6.9%,1.7%,0.3%,76.3,$34.17
model_10,8,Villanova,49.4%,4.6%,1.6%,0.4%,0.0%,0.0%,72.3,$6.74
model_10,3,Virginia,95.9%,57.1%,23.7%,4.2%,1.3%,0.2%,74.8,$36.22
model_10,5,Wisconsin,88.6%,37.4%,5.9%,1.9%,0.3%,0.0%,79.8,$20.48
model_10,14,Wright State,4.1%,0.3%,0.0%,0.0%,0.0%,0.0%,66.3,$0.46
