Model,Seed,Team,Round64,Round32,Sweet16,Elite8,Final4,TitleGame,AvgPts,ExpValue
model_5,7,UCLA,65.7%,23.6%,9.0%,1.9%,0.5%,0.1%,73.8,$17.30
model_5,2,UConn,97.4%,68.4%,36.8%,12.3%,4.7%,1.8%,72.8,$60.53
model_5,16,UMBC,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%,67.6,$0.06
model_5,9,Utah State,52.0%,7.4%,3.0%,1.0%,0.2%,0.0%,73.7,$8.96
model_5,11,VCU,40.5%,7.7%,1.6%,0.3%,0.1%,0.0%,74.4,$6.50
model_5,5,Vanderbilt,83.0%,46.3%,18.8%,7.8%,2.9%,0.9%,75.5,$38.48
model_5,8,Villanova,48.0%,6.3%,2.5%,0.8%,0.2%,0.0%,72.9,$7.96
model_5,3,Virginia,94.3%,53.0%,22.5%,7.7%,2.9%,0.9%,73.7,$42.12
model_5,5,Wisconsin,82.6%,39.1%,9.2%,3.5%,0.9%,0.2%,78.9,$24.50
model_5,14,Wright State,5.7%,0.5%,0.0%,0.0%,0.0%,0.0%,69.1,$0.68
model_6,12,Akron,22.9%,6.0%,0.5%,0.1%,0.0%,0.0%,75.6,$3.72
model_6,4,Alabama,88.5%,51.9%,13.4%,5.9%,2.4%,0.6%,80.2,$34.82
model_6,1,Arizona,99.3%,83.0%,64.5%,46.4%,26.2%,16.2%,76.0,$181.31
model_6,4,Arkansas,90.9%,57.2%,18.4%,8.8%,2.9%,1.0%,79.9,$42.36
model_6,6,BYU,67.2%,20.6%,7.7%,1.9%,0.4%,0.1%,77.4,$16.24
model_6,13,California Baptist,13.4%,2.1%,0.1%,0.0%,0.0%,0.0%,68.7,$1.77
model_6,8,Clemson,50.2%,10.4%,3.2%,0.9%,0.2%,0.0%,69.3,$9.27
model_6,1,Duke,99.8%,91.2%,74.1%,59.3%,40.1%,26.7%,71.6,$252.24
model_6,1,Florida,99.8%,79.0%,49.7%,27.4%,12.0%,4.7%,76.3,$100.57
model_6,15,Furman,1.9%,0.2%,0.0%,0.0%,0.0%,0.0%,65.9,$0.22
model_6,8,Georgia,52.1%,6.0%,2.4%,0.7%,0.2%,0.0%,78.8,$8.15
model_6,3,Gonzaga,97.4%,73.3%,42.6%,17.9%,7.0%,3.0%,77.6,$75.49
model_6,13,Hawaii,9.1%,1.7%,0.1%,0.0%,0.0%,0.0%,73.9,$1.26
model_6,12,High Point,18.3%,3.2%,0.2%,0.0%,0.0%,0.0%,76.7,$2.54
model_6,13,Hofstra,11.5%,2.0%,0.1%,0.0%,0.0%,0.0%,73.8,$1.54
model_6,2,Houston,98.1%,75.4%,48.7%,29.1%,13.5%,5.7%,72.3,$106.26
model_6,15,Idaho,1.9%,0.2%,0.0%,0.0%,0.0%,0.0%,65.7,$0.23
model_6,3,Illinois,96.4%,67.4%,32.3%,16.3%,6.3%,2.1%,75.6,$65.17
model_6,9,Iowa,49.8%,10.5%,3.3%,0.9%,0.2%,0.0%,69.3,$9.24
model_6,2,Iowa State,97.6%,75.2%,47.0%,19.1%,10.2%,3.9%,75.0,$86.61
model_6,4,Kansas,86.6%,42.4%,9.2%,4.4%,1.5%,0.5%,73.0,$27.89
model_6,14,Kennesaw State,2.6%,0.3%,0.0%,0.0%,0.0%,0.0%,71.7,$0.33
model_6,7,Kentucky,51.8%,12.8%,4.4%,0.9%,0.2%,0.0%,74.8,$10.53
model_6,16,LIU,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%,68.9,$0.08
model_6,6,Louisville,72.7%,31.8%,13.5%,2.9%,0.8%,0.2%,76.2,$23.10
model_6,12,McNeese,22.4%,5.8%,1.2%,0.2%,0.0%,0.0%,72.7,$4.05
model_6,7,Miami (FL),61.0%,18.6%,6.2%,1.3%,0.3%,0.1%,74.9,$13.84
model_6,11,Miami (OH),25.0%,4.4%,0.7%,0.1%,0.0%,0.0%,73.1,$3.67
model_6,1,Michigan,99.4%,89.0%,72.4%,54.1%,38.8%,22.4%,76.0,$231.09
model_6,3,Michigan State,92.0%,60.5%,31.3%,9.1%,3.4%,1.2%,74.1,$49.96
model_6,10,Missouri,39.0%,8.8%,2.2%,0.4%,0.1%,0.0%,73.8,$6.84
model_6,4,Nebraska,94.7%,52.0%,23.2%,10.1%,3.3%,1.0%,73.6,$45.16
model_6,6,North Carolina,66.1%,24.3%,8.1%,2.9%,0.7%,0.2%,75.5,$18.42
model_6,14,North Dakota State,8.0%,1.4%,0.1%,0.0%,0.0%,0.0%,69.1,$1.12
model_6,12,Northern Iowa,8.9%,1.3%,0.1%,0.0%,0.0%,0.0%,66.2,$1.17
model_6,8,Ohio State,57.7%,5.9%,2.0%,0.7%,0.2%,0.0%,72.3,$8.55
model_6,14,Penn,3.6%,0.4%,0.0%,0.0%,0.0%,0.0%,69.5,$0.43
model_6,16,Prairie View A&M,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,68.4,$0.02
model_6,2,Purdue,96.2%,72.1%,39.8%,16.6%,6.4%,2.8%,77.4,$71.51
model_6,15,Queens,3.8%,0.5%,0.0%,0.0%,0.0%,0.0%,73.5,$0.49
model_6,9,Saint Louis,47.9%,4.9%,1.8%,0.5%,0.1%,0.0%,78.2,$6.99
model_6,7,Saint Mary's,62.5%,17.4%,7.2%,2.6%,0.7%,0.1%,72.5,$16.00
model_6,10,Santa Clara,48.2%,11.7%,4.1%,0.7%,0.2%,0.0%,75.5,$9.59
model_6,16,Siena,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,63.8,$0.03
model_6,11,South Florida,27.3%,6.3%,1.4%,0.1%,0.0%,0.0%,75.0,$4.61
model_6,5,St. John's,91.1%,54.2%,13.8%,7.3%,2.7%,1.0%,73.1,$38.42
