Rk	Team	Conf	W-L	NetRtg	ORtg	DRtg	AdjT	Luck	NetRtg	ORtg	DRtg	NetRtg
38	Auburn	SEC	17-16	+19.02	124.8	15	105.8	107	67.2	191	-.053	314	+16.65	4	119.4	2	102.8	12	+8.40	25
39	Texas A&M 10	SEC	21-11	+18.67	119.7	49	101.0	41	70.5	29	-.002	192	+11.15	52	117.0	23	105.8	82	-5.88	317
40	Oklahoma	SEC	19-15	+18.37	124.2	18	105.8	109	66.2	240	-.070	335	+13.30	25	117.3	19	104.0	42	-5.52	311
Strength of Schedule	NCSOS
Rk	Team	Conf	W-L	NetRtg	ORtg	DRtg	AdjT	Luck	NetRtg	ORtg	DRtg	NetRtg
41	Saint Louis 9	A10	28-5	+18.32	119.5	51	101.2	42	71.0	21	+.030	110	+1.03	130	108.9	173	107.8	122	-5.82	316
42	SMU 11	ACC	20-13	+18.09	122.9	26	104.8	91	68.5	115	-.043	297	+11.15	51	115.7	43	104.6	58	+1.24	144
43	TCU 9	B12	22-11	+17.59	115.4	81	97.8	22	67.7	159	+.004	179	+11.04	53	115.2	55	104.1	46	-6.96	333
44	Cincinnati	B12	18-15	+17.49	111.2	131	93.7	8	67.5	175	-.073	338	+11.02	55	114.8	64	103.8	36	-3.24	271
45	VCU 11	A10	27-7	+17.21	119.9	46	102.7	60	68.5	116	-.007	207	+3.49	102	110.4	109	106.9	96	-1.27	222
46	Indiana	B10	18-14	+17.18	120.3	42	103.2	65	66.1	250	-.041	295	+11.80	40	116.1	36	104.3	51	-4.97	301
47	South Florida 11	Amer	25-8	+16.39	117.3	61	100.9	40	71.5	15	-.026	253	+3.04	104	111.2	97	108.2	131	+4.94	73
48	San Diego St.	MWC	22-11	+16.39	113.2	104	96.9	18	68.7	102	+.015	145	+8.57	75	114.3	67	105.7	79	+5.34	62
49	Baylor	B12	16-16	+16.00	122.9	25	106.9	128	67.8	152	-.086	346	+13.92	19	115.8	42	101.8	2	+1.14	150
50	New Mexico	MWC	23-10	+15.81	117.1	64	101.3	44	69.8	57	-.035	284	+5.68	88	111.8	92	106.1	87	+0.53	170
51	Seton Hall	BE	21-12	+15.71	110.5	147	94.8	14	65.1	302	-.033	278	+8.99	73	113.9	75	104.9	65	-4.21	290
52	Missouri 10	SEC	20-12	+15.39	119.5	50	104.1	78	66.2	244	+.041	83	+11.51	44	116.5	29	105.0	68	-7.78	344
53	Washington	B10	16-17	+15.12	117.2	63	102.1	55	67.1	194	-.101	360	+11.97	38	116.8	26	104.8	64	-0.75	205
54	UCF 10	B12	21-11	+15.04	120.5	40	105.4	101	69.2	78	+.097	17	+11.91	39	115.0	61	103.1	17	-2.56	258
55	Virginia Tech	ACC	19-13	+13.69	117.2	62	103.6	70	67.0	197	-.010	211	+9.99	69	115.1	58	105.1	69	-0.87	209
56	Florida St.	ACC	18-15	+13.48	118.4	56	104.9	93	70.4	30	-.006	201	+11.20	50	114.9	62	103.7	34	-3.27	272
57	Northwestern	B10	15-19	+13.41	117.5	60	104.1	77	65.0	304	-.079	343	+13.22	27	117.2	21	103.9	41	-1.68	231
58	Stanford	ACC	20-12	+13.37	117.1	65	103.7	71	66.7	216	+.030	109	+8.77	74	113.5	77	104.8	62	-0.45	195
59	West Virginia	B12	18-14	+13.27	110.0	154	96.7	17	62.2	364	-.033	276	+9.30	72	114.2	68	104.9	66	-8.28	349
60	LSU	SEC	15-17	+13.23	119.8	48	106.6	122	66.6	224	-.092	353	+10.94	58	115.7	44	104.8	61	-4.66	298
61	Grand Canyon	MWC	20-12	+13.19	111.0	134	97.8	23	68.0	141	-.068	332	+3.78	100	111.7	95	107.9	124	-5.77	314
62	Boise St.	MWC	20-12	+13.18	117.0	67	103.8	74	65.7	272	+.028	114	+8.44	76	114.1	69	105.7	78	+7.73	34
63	Tulsa	Amer	26-7	+12.97	121.2	34	108.2	148	67.9	145	+.021	128	+0.59	141	109.1	159	108.5	143	-2.44	256
64	Akron 12	MAC	29-5	+12.80	118.8	54	106.0	113	70.3	32	+.018	132	-3.65	236	108.5	194	112.1	286	-3.11	267
65	Mississippi	SEC	15-20	+12.62	114.1	92	101.4	46	66.3	234	-.070	333	+14.22	17	118.6	8	104.4	56	-2.53	257
66	Oklahoma St.	B12	19-14	+12.58	120.1	45	107.5	138	72.0	9	+.052	60	+12.19	34	115.1	57	103.0	14	-0.94	212
67	Arizona St.	B12	17-16	+12.52	115.8	78	103.2	66	69.2	77	+.062	43	+14.49	14	117.7	14	103.2	21	+5.81	55
68	McNeese 12	Slnd	28-5	+12.48	114.3	91	101.8	49	66.2	246	+.084	21	-1.86	201	107.5	250	109.4	171	+9.13	22
69	Belmont	MVC	26-6	+12.26	120.7	38	108.4	152	68.9	93	+.035	96	-0.14	156	108.2	216	108.3	135	-4.64	297
70	Colorado	B12	17-15	+12.11	118.9	53	106.8	126	68.7	106	+.024	126	+10.83	60	115.3	51	104.5	57	+0.07	186
71	Providence	BE	15-18	+11.81	121.1	36	109.3	176	71.2	17	-.090	350	+10.99	56	114.1	70	103.1	16	-0.53	198
72	Northern Iowa 12	MVC	23-12	+11.81	110.0	153	98.2	24	62.3	363	-.070	334	+1.27	127	109.5	142	108.2	132	-0.87	208
73	California	ACC	21-11	+11.43	114.1	93	102.6	59	68.0	137	+.044	72	+7.12	81	113.4	79	106.3	88	-6.42	325
74	Wake Forest	ACC	17-16	+11.39	117.0	68	105.6	104	68.1	134	-.022	243	+11.27	48	115.8	41	104.6	59	+0.66	165
75	Nevada	MWC	22-12	+11.30	115.7	79	104.4	85	66.1	249	+.012	154	+5.99	86	112.1	89	106.1	86	+2.83	110
